TIME,SIGNAL,DATA_INPUT,DATA_OUTPUT
0,1,24,4.297189840899025
1,1,24,4.494217942490034
2,1,24,4.689275763065134
3,1,24,4.882383005434483
4,1,24,5.073559175380138
5,1,24,5.262823583626337
6,1,24,5.450195347790073
7,1,24,5.635693394312172
8,1,24,5.81933646036905
9,1,24,6.00114309576536
10,1,24,6.181131664807706
11,1,24,6.359320348159629
12,1,24,6.535727144678033
13,1,24,6.710369873231253
14,1,24,6.8832661744989405
15,1,24,7.054433512753951
16,1,24,7.223889177626411
17,1,24,7.391650285850147
18,1,24,7.5577337829916456
19,1,24,7.722156445161729
20,1,24,7.884934880710111
21,1,24,8.04608553190301
22,1,24,8.20562467658398
23,1,24,8.363568429818141
24,1,24,8.51993274551996
25,1,24,8.67473341806476
26,1,24,8.827986083884111
27,1,24,8.97970622304527
28,1,24,9.129909160814817
29,1,24,9.27861006920667
30,1,24,9.425823968514603
31,1,24,9.571565728829457
32,1,24,9.715850071541162
33,1,24,9.85869157082575
34,1,24,10.000104655117493
35,1,24,10.140103608566317
36,1,24,10.278702572480654
37,1,24,10.415915546755848
38,1,24,10.55175639128829
39,1,24,10.686238827375407
40,1,24,10.819376439101653
41,1,24,10.951182674710637
42,1,24,11.081670847963531
43,1,24,11.210854139483896
44,1,24,11.338745598089057
45,1,24,11.465358142108165
46,1,24,11.590704560687083
47,1,24,11.714797515080212
48,1,24,11.83764953992941
49,1,24,11.959273044530116
50,1,24,12.079680314084815
51,1,24,12.198883510943967
52,1,24,12.316894675834527
53,1,24,12.433725729076182
54,1,24,12.54938847178542
55,1,24,12.663894587067565
56,1,24,12.77725564119689
57,1,24,12.88948308478492
58,1,24,13.000588253937071
59,1,24,13.110582371397701
60,1,24,13.219476547683724
61,1,24,13.327281782206887
62,1,24,13.434008964384818
63,1,24,13.53966887474097
64,1,24,13.644272185993561
65,1,24,13.747829464133625
66,1,24,13.850351169492289
67,1,24,13.951847657797366
68,1,24,14.052329181219392
69,1,24,14.151805889407198
70,1,24,14.250287830513127
71,1,24,14.347784952207995
72,1,24,14.444307102685915
73,1,24,14.539864031659055
74,1,24,14.634465391342465
75,1,24,14.72812073742904
76,1,24,14.82083953005475
77,1,24,14.912631134754202
78,1,24,15.00350482340666
79,1,24,15.093469775172593
80,1,24,15.182535077420868
81,1,24,15.27070972664666
82,1,24,15.358002629380193
83,1,24,15.444422603086391
84,1,24,15.529978377055526
85,1,24,15.614678593284971
86,1,24,15.698531807352122
87,1,24,15.7815464892786
88,1,24,15.863731024385814
89,1,24,15.945093714141956
90,1,24,16.025642777000538
91,1,24,16.105386349230532
92,1,24,16.184332485738228
93,1,24,16.262489160880847
94,1,24,16.339864269272038
95,1,24,16.416465626579317
96,1,24,16.492300970313522
97,1,24,16.567377960610386
98,1,24,16.641704181004283
99,1,24,16.71528713919424
100,1,24,16.788134267802295
101,1,24,16.86025292512427
102,1,24,16.931650395873028
103,1,24,17.002333891914297
104,1,24,17.072310552995155
105,1,24,17.141587447465202
106,1,24,17.21017157299055
107,1,24,17.278069857260643
108,1,24,17.345289158688036
109,1,24,17.411836267101155
110,1,24,17.477717904430143
111,1,24,17.542940725385844
112,1,24,17.607511318131984
113,1,24,17.671436204950663
114,1,24,17.734721842901155
115,1,24,17.797374624472145
116,1,24,17.859400878227422
117,1,24,17.920806869445148
118,1,24,17.981598800750696
119,1,24,18.04178281274319
120,1,24,18.101364984615756
121,1,24,18.160351334769597
122,1,24,18.2187478214219
123,1,24,18.27656034320768
124,1,24,18.333794739775605
125,1,24,18.39045679237785
126,1,24,18.446552224454074
127,1,24,18.50208670220953
128,1,24,18.557065835187437
129,1,24,18.61149517683556
130,1,24,18.665380225067207
131,1,24,18.718726422816534
132,1,24,18.771539158588368
133,1,24,18.823823767002484
134,1,24,18.875585529332458
135,1,24,18.926829674039134
136,1,24,18.97756137729874
137,1,24,19.027785763525753
138,1,24,19.077507905890496
139,1,24,19.126732826831592
140,1,24,19.175465498563277
141,1,24,19.223710843577646
142,1,24,19.271473735141868
143,1,24,19.31875899779045
144,1,24,19.365571407812546
145,1,24,19.41191569373442
146,1,24,19.457796536797076
147,1,24,19.503218571429105
148,1,24,19.548186385714814
149,1,24,19.592704521857666
150,1,24,19.63677747663909
151,1,24,19.680409701872698
152,1,24,19.723605604853972
153,1,24,19.766369548805432
154,1,24,19.808705853317377
155,1,24,19.850618794784204
156,1,24,19.892112606836363
157,1,24,19.933191480768
158,1,24,19.973859565960318
159,1,24,20.014120970300716
160,1,24,20.05397976059771
161,1,24,20.09343996299173
162,1,24,20.132505563361814
163,1,24,20.171180507728195
164,1,24,20.209468702650913
165,1,24,20.247374015624402
166,1,24,20.284900275468157
167,1,24,20.322051272713477
168,1,24,20.358830759986343
169,1,24,20.39524245238648
170,1,24,20.431290027862616
171,1,24,20.46697712758399
172,1,24,20.50230735630815
173,1,24,20.53728428274507
174,1,24,20.57191143991762
175,1,24,20.606192325518446
176,1,24,20.64013040226326
177,1,24,20.673729098240628
178,1,24,20.706991807258223
179,1,24,20.73992188918564
180,1,24,20.772522670293785
181,1,24,20.804797443590846
182,1,24,20.836749469154938
183,1,24,20.86838197446339
184,1,24,20.899698154718756
185,1,24,20.930701173171567
186,1,24,20.961394161439852
187,1,24,20.991780219825454
188,1,24,21.0218624176272
189,1,24,21.05164379345093
190,1,24,21.08112735551642
191,1,24,21.110316081961255
192,1,24,21.13921292114164
193,1,24,21.167820791930225
194,1,24,21.19614258401092
195,1,24,21.22418115817081
196,1,24,21.251939346589104
197,1,24,21.279419953123213
198,1,24,21.30662575359198
199,1,24,21.33355949605606
200,1,24,21.3602239010955
201,1,24,21.386621662084547
202,1,24,21.412755445463702
203,1,24,21.438627891009066
204,1,24,21.464241612098974
205,1,24,21.489599195977984
206,1,24,21.514703204018204
207,1,24,21.53955617197802
208,1,24,21.56416061025824
209,1,24,21.58851900415566
210,1,24,21.612633814114105
211,1,24,21.636507475972962
212,1,24,21.660142401213232
213,1,24,21.6835409772011
214,1,24,21.70670556742909
215,1,24,21.7296385117548
216,1,24,21.752342126637252
217,1,24,21.77481870537088
218,1,24,21.79707051831717
219,1,24,21.819099813134
220,1,24,21.84090881500266
221,1,24,21.862499726852633
222,1,24,21.883874729584107
223,1,24,21.905035982288265
224,1,24,21.925985622465383
225,1,24,21.94672576624073
226,1,24,21.967258508578322
227,1,24,21.98758592349254
228,1,24,22.007710064257612
229,1,24,22.027632963615037
230,1,24,22.047356633978886
231,1,24,22.066883067639097
232,1,24,22.086214236962707
233,1,24,22.10535209459308
234,1,24,22.12429857364715
235,1,24,22.143055587910677
236,1,24,22.16162503203157
237,1,24,22.180008781711255
238,1,24,22.19820869389414
239,1,24,22.2162266069552
240,1,24,22.23406434088565
241,1,24,22.25172369747679
242,1,24,22.269206460502023
243,1,24,22.286514395897
244,1,24,22.30364925193803
245,1,24,22.320612759418648
246,1,24,22.33740663182446
247,1,24,22.354032565506216
248,1,24,22.370492239851153
249,1,24,22.38678731745264
250,1,24,22.402919444278115
251,1,24,22.418890249835336
252,1,24,22.434701347336983
253,1,24,22.45035433386361
254,1,24,22.465850790524975
255,1,24,22.481192282619727
256,1,24,22.49638035979353
257,1,24,22.511416556195595
258,1,24,22.52630239063364
259,1,24,22.5410393667273
260,1,24,22.555628973060028
261,1,24,22.57007268332943
262,1,24,22.584371956496135
263,1,24,22.598528236931173
264,1,24,22.61254295456186
265,1,24,22.62641752501624
266,1,24,22.640153349766077
267,1,24,22.653751816268418
268,1,24,22.667214298105733
269,1,24,22.680542155124677
270,1,24,22.69373673357343
271,1,24,22.706799366237696
272,1,24,22.719731372575318
273,1,24,22.732534058849563
274,1,24,22.74520871826107
275,1,24,22.757756631078458
276,1,24,22.770179064767675
277,1,24,22.782477274119998
278,1,24,22.7946525013788
279,1,24,22.80670597636501
280,1,24,22.81863891660136
281,1,24,22.830452527435344
282,1,24,22.84214800216099
283,1,24,22.85372652213938
284,1,24,22.865189256917986
285,1,24,22.876537364348806
286,1,24,22.887771990705318
287,1,24,22.898894270798266
288,1,24,22.909905328090282
289,1,24,22.92080627480938
290,1,24,22.931598212061285
291,1,24,22.942282229940673
292,1,24,22.952859407641267
293,1,24,22.963330813564856
294,1,24,22.973697505429207
295,1,24,22.983960530374915
296,1,24,22.994120925071165
297,1,24,23.004179715820452
298,1,24,23.014137918662247
299,1,24,23.023996539475625
300,1,24,23.03375657408087
301,1,24,23.04341900834006
302,1,24,23.052984818256657
